"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon May 27 17:44:46 GMT 2024","Mon May 27 17:44:46 GMT 2024","1","All tests application","All tests","DashboardTests","DashboardTests","dashboardSuperAdminUser","dashboardSuperAdminUser",""
"skipped","Mon May 27 17:44:47 GMT 2024","Mon May 27 17:44:47 GMT 2024","1","All tests application","All tests","LoginTests","LoginTests","loginAdminUser","loginAdminUser",""
"skipped","Mon May 27 17:44:46 GMT 2024","Mon May 27 17:44:46 GMT 2024","1","All tests application","All tests","DashboardTests","DashboardTests","dashboardAdminUser","dashboardAdminUser",""
"skipped","Mon May 27 17:44:46 GMT 2024","Mon May 27 17:44:46 GMT 2024","1","All tests application","All tests","DashboardTests","DashboardTests","dashboardManagerUser","dashboardManagerUser",""
"skipped","Mon May 27 17:44:47 GMT 2024","Mon May 27 17:44:47 GMT 2024","2","All tests application","All tests","LoginTests","LoginTests","loginSuperAdminUser","loginSuperAdminUser",""
"skipped","Mon May 27 17:44:47 GMT 2024","Mon May 27 17:44:47 GMT 2024","0","All tests application","All tests","OrderTests","OrderTests","order","order",""
"skipped","Mon May 27 17:44:47 GMT 2024","Mon May 27 17:44:47 GMT 2024","2","All tests application","All tests","LoginTests","LoginTests","login","login",""
"skipped","Mon May 27 17:44:47 GMT 2024","Mon May 27 17:44:47 GMT 2024","0","All tests application","All tests","OrderTests","OrderTests","orderManagerUser","orderManagerUser",""
"skipped","Mon May 27 17:44:47 GMT 2024","Mon May 27 17:44:47 GMT 2024","4","All tests application","All tests","LoginTests","LoginTests","loginManagerUser","loginManagerUser",""
"skipped","Mon May 27 17:44:47 GMT 2024","Mon May 27 17:44:47 GMT 2024","1","All tests application","All tests","OrderTests","OrderTests","orderAdminUser","orderAdminUser",""
"skipped","Mon May 27 17:44:47 GMT 2024","Mon May 27 17:44:47 GMT 2024","0","All tests application","All tests","OrderTests","OrderTests","orderSuperAdminUser","orderSuperAdminUser",""
"broken","Mon May 27 17:44:46 GMT 2024","Mon May 27 17:44:46 GMT 2024","1","All tests application","All tests","DashboardTests","DashboardTests","setUp","setUp",""
"broken","Mon May 27 17:44:47 GMT 2024","Mon May 27 17:44:47 GMT 2024","1","All tests application","All tests","LoginTests","LoginTests","setUp","setUp",""
"skipped","Mon May 27 17:44:46 GMT 2024","Mon May 27 17:44:46 GMT 2024","2","All tests application","All tests","DashboardTests","DashboardTests","dashboard","dashboard",""
"broken","Mon May 27 17:44:47 GMT 2024","Mon May 27 17:44:47 GMT 2024","0","All tests application","All tests","OrderTests","OrderTests","setUp","setUp",""
